userName,score,content,at
Anggriana Putri,2,aneh ga bisa privakasi muka,2025-07-31 10:51:47
Yus Miyetti,3,semoga saya bisa mendapatkan pinjaman,2025-07-31 10:50:31
Riswan Hasan,5,sangat membantu,2025-07-31 10:44:59
Supri Yadi,4,bagus,2025-07-31 10:42:08
lita tinafrila,1,"hati hati yg mau pinjam kesini, sepertinya hanya butuh data saja, pinjaman slalu di tolak pdahal baru pertama kali download",2025-07-31 10:15:32
Suwarno,5,cepat mudah dan praktis,2025-07-31 10:03:32
Seva Sepon,5,bila bisa caer sangat membantu kami,2025-07-31 09:50:17
Gev Eng,4,sangat baik,2025-07-31 09:49:35
Boni Kia Palembang,5,lumayan simpel,2025-07-31 09:44:49
Sarwati Bihar,3,semoga 🤲 bisa membantu...menambahan usaha,2025-07-31 09:31:32
Oghe m. Nurung,5,mantap,2025-07-31 09:20:57
Ramba Mda,1,"proses lama, ujung2 nya di tolak",2025-07-31 09:04:18
Mohamad Yusuf,3,semoga di acc pengajuan pinjaman buat modal usaha saya trimakasih🙏,2025-07-31 08:53:25
aero fadil,5,semoga,2025-07-31 08:49:39
Zian,4,oke,2025-07-31 08:44:47
Hariyadi hariyadi,5,apk sangat membantu,2025-07-31 08:44:01
debiharya ramadan29,5,aplikasi nya baguss,2025-07-31 08:36:40
Vie Nurman,5,the best,2025-07-31 08:35:16
irawan Aja,5,sangat membantu saat mendesak terimakasih indodana,2025-07-31 08:13:07
Eki Chan,1,untuk bukti aja kalo ke depannya ada masalah ... saat mau cek limit semua data terisi .. tiba2 langsung pengajuan 1x24 jam tanpa tau berapa limit dan pinjaman yg di ambil .. KLO ke depannya ada pengambilan dgn limit besar saya tidak setuju karena merasa tertipu ... terima kasih ..,2025-07-31 08:12:15
Putra Andrean,4,indodana Jaya,2025-07-31 08:09:33
Ipeh Aja'ah,5,mksh indodana solusi disaat ada kebutuhan mendesak,2025-07-31 07:57:46
Manda Aja,1,"bintang satu aja,karna aplikasi nya ga bisa di buka,alsan nya jaringan tdk stabil,pada hal jaringan bagus aja,,,,,SUDAH UPDATE TAPI APLIKASI NYA GA BISA DI BUKA,,SELALU BILANG JARINGAN TIDAK STABIL,,TOLONG YA GA BISA LOGIN!!!",2025-07-31 07:45:57
Agim Khudori,5,terima pengajuan saya,2025-07-31 07:44:28
Lucky kameubun Lucky,5,sangat Kren aplikasi ini,2025-07-31 07:41:12
Khoirul Rizal,1,aplikasi ga jelas baru daftar baru login pengajuan di tolok aneh.,2025-07-31 07:23:33
Corong Bodol25,2,aplikasinya bagus tapi belum tau gimna hasilnya soalnya saya baru pertama ngajuin disini,2025-07-31 07:15:16
Nining Yuningsih,5,baik,2025-07-31 07:10:18
Hari Herpan,5,muga2 bisa membantu orang2 betul membutuhkan dan mambayar ansuran dgn benar,2025-07-31 07:07:39
Forties Officialid,5,kereeeen,2025-07-31 07:06:07
Fiti Fira,5,cepat banget,2025-07-31 06:56:49
Nurul Aqila,5,hasil ga hasil tetap puas menggunakan indodana,2025-07-31 06:41:54
Bone 80,4,ok,2025-07-31 06:18:15
Iwan Setiawan,5,bisa,2025-07-31 05:32:04
Fahmi Yuda,1,pengajuan awal ditolak gak tau qlasanny padahal saya gak pernah pinjam. kelain pinjol dengan pembayaran buruk tolong data saya jangan disalah gunakan saya gak mau tau kalo terjadi hal yang gak saya ingin kan. bukti saya ditolak tolol,2025-07-31 05:03:34
Rezza Berto,5,proses mudah,2025-07-31 04:58:57
Gunawan Putra,4,pengajuan tidak sulit semoga di terima dan diberikan limit,2025-07-31 04:22:35
Rifai 2020,4,ok mantap,2025-07-31 04:12:32
