userName,score,content,at,cleaned,sentiment
Anggriana Putri,2,aneh ga bisa privakasi muka,2025-07-31 10:51:47,aneh ga bisa privakasi muka,negative
Yus Miyetti,3,semoga saya bisa mendapatkan pinjaman,2025-07-31 10:50:31,semoga saya bisa mendapatkan pinjaman,neutral
Riswan Hasan,5,sangat membantu,2025-07-31 10:44:59,sangat membantu,positive
Supri Yadi,4,bagus,2025-07-31 10:42:08,bagus,positive
lita tinafrila,1,"hati hati yg mau pinjam kesini, sepertinya hanya butuh data saja, pinjaman slalu di tolak pdahal baru pertama kali download",2025-07-31 10:15:32,"hati hati yg mau pinjam kesini, sepertinya hanya butuh data saja, pinjaman slalu di tolak pdahal baru pertama kali download",negative
Suwarno,5,cepat mudah dan praktis,2025-07-31 10:03:32,cepat mudah dan praktis,positive
Seva Sepon,5,bila bisa caer sangat membantu kami,2025-07-31 09:50:17,bila bisa caer sangat membantu kami,positive
Gev Eng,4,sangat baik,2025-07-31 09:49:35,sangat baik,positive
Boni Kia Palembang,5,lumayan simpel,2025-07-31 09:44:49,lumayan simpel,positive
Sarwati Bihar,3,semoga 🤲 bisa membantu...menambahan usaha,2025-07-31 09:31:32,semoga bisa membantu...menambahan usaha,positive
Oghe m. Nurung,5,mantap,2025-07-31 09:20:57,mantap,positive
Ramba Mda,1,"proses lama, ujung2 nya di tolak",2025-07-31 09:04:18,"proses lama, ujung2 nya di tolak",negative
Mohamad Yusuf,3,semoga di acc pengajuan pinjaman buat modal usaha saya trimakasih🙏,2025-07-31 08:53:25,semoga di acc pengajuan pinjaman buat modal usaha saya trimakasih,neutral
aero fadil,5,semoga,2025-07-31 08:49:39,semoga,positive
Zian,4,oke,2025-07-31 08:44:47,oke,positive
Hariyadi hariyadi,5,apk sangat membantu,2025-07-31 08:44:01,apk sangat membantu,positive
debiharya ramadan29,5,aplikasi nya baguss,2025-07-31 08:36:40,aplikasi nya baguss,positive
Vie Nurman,5,the best,2025-07-31 08:35:16,the best,positive
irawan Aja,5,sangat membantu saat mendesak terimakasih indodana,2025-07-31 08:13:07,sangat membantu saat mendesak terimakasih indodana,positive
Eki Chan,1,untuk bukti aja kalo ke depannya ada masalah ... saat mau cek limit semua data terisi .. tiba2 langsung pengajuan 1x24 jam tanpa tau berapa limit dan pinjaman yg di ambil .. KLO ke depannya ada pengambilan dgn limit besar saya tidak setuju karena merasa tertipu ... terima kasih ..,2025-07-31 08:12:15,untuk bukti aja kalo ke depannya ada masalah ... saat mau cek limit semua data terisi .. tiba2 langsung pengajuan 1x24 jam tanpa tau berapa limit dan pinjaman yg di ambil .. KLO ke depannya ada pengambilan dgn limit besar saya tidak setuju karena merasa tertipu ... terima kasih ..,negative
Putra Andrean,4,indodana Jaya,2025-07-31 08:09:33,indodana Jaya,positive
Ipeh Aja'ah,5,mksh indodana solusi disaat ada kebutuhan mendesak,2025-07-31 07:57:46,mksh indodana solusi disaat ada kebutuhan mendesak,neutral
Manda Aja,1,"bintang satu aja,karna aplikasi nya ga bisa di buka,alsan nya jaringan tdk stabil,pada hal jaringan bagus aja,,,,,SUDAH UPDATE TAPI APLIKASI NYA GA BISA DI BUKA,,SELALU BILANG JARINGAN TIDAK STABIL,,TOLONG YA GA BISA LOGIN!!!",2025-07-31 07:45:57,"bintang satu aja,karna aplikasi nya ga bisa di buka,alsan nya jaringan tdk stabil,pada hal jaringan bagus aja,,,,,SUDAH UPDATE TAPI APLIKASI NYA GA BISA DI BUKA,,SELALU BILANG JARINGAN TIDAK STABIL,,TOLONG YA GA BISA LOGIN!!!",negative
Agim Khudori,5,terima pengajuan saya,2025-07-31 07:44:28,terima pengajuan saya,neutral
Lucky kameubun Lucky,5,sangat Kren aplikasi ini,2025-07-31 07:41:12,sangat Kren aplikasi ini,positive
Khoirul Rizal,1,aplikasi ga jelas baru daftar baru login pengajuan di tolok aneh.,2025-07-31 07:23:33,aplikasi ga jelas baru daftar baru login pengajuan di tolok aneh.,negative
Corong Bodol25,2,aplikasinya bagus tapi belum tau gimna hasilnya soalnya saya baru pertama ngajuin disini,2025-07-31 07:15:16,aplikasinya bagus tapi belum tau gimna hasilnya soalnya saya baru pertama ngajuin disini,negative
Nining Yuningsih,5,baik,2025-07-31 07:10:18,baik,positive
Hari Herpan,5,muga2 bisa membantu orang2 betul membutuhkan dan mambayar ansuran dgn benar,2025-07-31 07:07:39,muga2 bisa membantu orang2 betul membutuhkan dan mambayar ansuran dgn benar,positive
Forties Officialid,5,kereeeen,2025-07-31 07:06:07,kereeeen,positive
Fiti Fira,5,cepat banget,2025-07-31 06:56:49,cepat banget,negative
Nurul Aqila,5,hasil ga hasil tetap puas menggunakan indodana,2025-07-31 06:41:54,hasil ga hasil tetap puas menggunakan indodana,positive
Bone 80,4,ok,2025-07-31 06:18:15,ok,negative
Iwan Setiawan,5,bisa,2025-07-31 05:32:04,bisa,neutral
Fahmi Yuda,1,pengajuan awal ditolak gak tau qlasanny padahal saya gak pernah pinjam. kelain pinjol dengan pembayaran buruk tolong data saya jangan disalah gunakan saya gak mau tau kalo terjadi hal yang gak saya ingin kan. bukti saya ditolak tolol,2025-07-31 05:03:34,pengajuan awal ditolak gak tau qlasanny padahal saya gak pernah pinjam. kelain pinjol dengan pembayaran buruk tolong data saya jangan disalah gunakan saya gak mau tau kalo terjadi hal yang gak saya ingin kan. bukti saya ditolak tolol,negative
Rezza Berto,5,proses mudah,2025-07-31 04:58:57,proses mudah,positive
Gunawan Putra,4,pengajuan tidak sulit semoga di terima dan diberikan limit,2025-07-31 04:22:35,pengajuan tidak sulit semoga di terima dan diberikan limit,neutral
Rifai 2020,4,ok mantap,2025-07-31 04:12:32,ok mantap,positive
Prastio Isco,5,bagus,2025-07-31 03:50:06,bagus,positive
Syamsul Bahri,5,semoga bermanfaat buat yg membutuhkan,2025-07-31 03:38:12,semoga bermanfaat buat yg membutuhkan,positive
Akbar Maulana,5,puas,2025-07-31 03:14:05,puas,positive
PUBG MOBILE OFFICIAL,2,"bintang 2 dulu, acc langsung bintang 5",2025-07-31 02:54:07,"bintang 2 dulu, acc langsung bintang 5",negative
Rahman Marabes1969,5,tlong dibantu buat usaha,2025-07-31 02:29:18,tlong dibantu buat usaha,neutral
Pakihudin Pakihudin,1,mantap,2025-07-31 02:27:18,mantap,positive
Abdrahmansiddiq1991,2,"belum berani kasih bintang full, soalnya pengen tau cepat atau tidak proses pencarian nya",2025-07-31 02:25:49,"belum berani kasih bintang full, soalnya pengen tau cepat atau tidak proses pencarian nya",negative
anto teo,5,mantapp dan simple LM,2025-07-31 01:23:32,mantapp dan simple LM,positive
Meta Lia,5,semoga cepat bisa pinjam,2025-07-31 01:17:52,semoga cepat bisa pinjam,positive
Sidiq Idik,5,semoga membantu masyarakat kecil,2025-07-31 00:59:28,semoga membantu masyarakat kecil,positive
Amir Solihin,5,sangat bagus,2025-07-31 00:47:44,sangat bagus,positive
Sehan Budin,4,terimakasih atas kerjasamanya,2025-07-31 00:15:16,terimakasih atas kerjasamanya,positive
Pawit Kuper,1,ini aplikasi kok susah si mau aktifasi aja susah nya minta ampun... ketika apk di bukak sinya nol...,2025-07-31 00:09:40,ini aplikasi kok susah si mau aktifasi aja susah nya minta ampun... ketika apk di bukak sinya nol...,negative
Huda Chaegaul,5,bagus,2025-07-31 00:09:19,bagus,positive
Chandra Ngangak,5,sangat bagus,2025-07-30 23:53:15,sangat bagus,positive
Achmad Chabib,5,Mantab,2025-07-30 23:50:03,Mantab,positive
Ichsan Ichsanolak,5,mantap,2025-07-30 23:45:49,mantap,positive
Mahyu Danil,5,good,2025-07-30 23:18:21,good,positive
Apip Argomulyo,5,krennn gercep,2025-07-30 22:58:27,krennn gercep,negative
HajjiYamin 39,5,semoga di acc,2025-07-30 22:56:16,semoga di acc,neutral
NATAN Andrian Panjaitan,5,sangat baik,2025-07-30 22:27:50,sangat baik,positive
Nitha Official,5,"proses verifikasi cepat, tapi pengajuan masih tanda tanya.",2025-07-30 22:25:19,"proses verifikasi cepat, tapi pengajuan masih tanda tanya.",neutral
Boeng Skyy,5,bagus untuk pinjaman,2025-07-30 22:14:45,bagus untuk pinjaman,positive
reffan Ardiansyah,5,mantef,2025-07-30 22:06:29,mantef,positive
Repi Saputra,5,keren banget semoga bisa bermanpat,2025-07-30 22:03:28,keren banget semoga bisa bermanpat,positive
Fitri Anjani,5,mantap.mohon diproses,2025-07-30 22:02:34,mantap.mohon diproses,positive
Neneng Putri,5,Mantaps,2025-07-30 22:00:35,Mantaps,positive
ridwan hidayat,5,baik,2025-07-30 21:59:00,baik,positive
Jendela Pager,5,respon yang baik,2025-07-30 21:46:02,respon yang baik,positive
Mulyanti Yanti,2,mudahan di proses lancar,2025-07-30 21:41:59,mudahan di proses lancar,positive
Arcelio,5,mudah mudahan di acc,2025-07-30 21:34:57,mudah mudahan di acc,neutral
Ali Bina,5,sangat baik aku suka,2025-07-30 21:34:24,sangat baik aku suka,positive
Fedi Irawan,5,mudah mudahan di ACC,2025-07-30 21:32:25,mudah mudahan di ACC,neutral
Ruri Uchil,5,"mantap, terimakasih",2025-07-30 21:30:21,"mantap, terimakasih",positive
M.riskon Esa sapurta,5,godd,2025-07-30 21:25:24,godd,negative
Ali lanciep Ali,5,mantapp,2025-07-30 21:15:48,mantapp,positive
Muhammad Putut Daniswara,1,"pengajuan pertama langsung di tolak, semoga tidak di salah gunakan data saya.",2025-07-30 21:15:39,"pengajuan pertama langsung di tolak, semoga tidak di salah gunakan data saya.",negative
GAN dul,5,mau saya coba dulu,2025-07-30 21:14:33,mau saya coba dulu,neutral
erni sapitri,1,"aplukasi tidak recomended.. Yg Recomended itu ⬇️ Allo bank Kredivo Honest akulaku Tiktok m-smile ocbc, limit juga di atas 10Jt",2025-07-30 21:13:32,"aplukasi tidak recomended.. Yg Recomended itu Allo bank Kredivo Honest akulaku Tiktok msmile ocbc, limit juga di atas 10Jt",negative
Tinah Tinah,2,assalamualaikum bapak tolong hapus data saya dikarenakan saya nga pernah pinjem di aplikasi indodana tpi saya dapat tagihan terus dari aplikasi indodana,2025-07-30 21:06:58,assalamualaikum bapak tolong hapus data saya dikarenakan saya nga pernah pinjem di aplikasi indodana tpi saya dapat tagihan terus dari aplikasi indodana,neutral
Sukma Editz,4,"sya kasih binta 4 dulu soal baru nyoba mudah""pengajuan nya d acc",2025-07-30 21:00:04,sya kasih binta 4 dulu soal baru nyoba mudahpengajuan nya d acc,neutral
Awal Hilmi,5,smngga d ksih dan d acc ksih bintang 5 langsung amin,2025-07-30 20:56:59,smngga d ksih dan d acc ksih bintang 5 langsung amin,neutral
Mohammad Iqbal,1,Aplikasi kaga jelas pembayaranbagus malah di non aktifkan. KAGA JELAS,2025-07-30 20:48:48,Aplikasi kaga jelas pembayaranbagus malah di non aktifkan. KAGA JELAS,negative
Aswar Sofyan,5,semoga berhasil,2025-07-30 20:36:39,semoga berhasil,positive
fiat Dicky,2,dua aja dlu KLO d asese baru pull bintang,2025-07-30 20:19:35,dua aja dlu KLO d asese baru pull bintang,neutral
Alief Shaputra,4,nanti kalu ACC naik ke 6,2025-07-30 20:09:27,nanti kalu ACC naik ke 6,neutral
Rian Similikiti,4,"mudah dan tidak ribet, sangat membantu sih iniii",2025-07-30 20:06:43,"mudah dan tidak ribet, sangat membantu sih iniii",positive
Ujang Balmon,5,tolong min acc,2025-07-30 20:05:50,tolong min acc,neutral
andy margantara,4,bintang 4 dl KL acc bintang 5,2025-07-30 19:45:22,bintang 4 dl KL acc bintang 5,neutral
srw tsm,1,"Gila bunga nya,, bener"" mencekik",2025-07-30 19:42:18,"Gila bunga nya,, bener mencekik",negative
Septy Deh,5,terimaksih sangat ramah,2025-07-30 19:41:43,terimaksih sangat ramah,positive
I'm_rhey,5,top,2025-07-30 19:32:56,top,positive
Angga123 Angga Anshori,5,aplikasi yg membantu mksih,2025-07-30 19:29:46,aplikasi yg membantu mksih,positive
Reza Ikhwan,5,"terimah kasih indodana ,aplikasi yang sangat membantu kebutuhan mendesak",2025-07-30 19:29:11,"terimah kasih indodana ,aplikasi yang sangat membantu kebutuhan mendesak",positive
Ujang Spard,5,mantap,2025-07-30 19:00:20,mantap,positive
Dede Rohimah,5,mantul,2025-07-30 18:59:34,mantul,negative
Angela Valencia,5,pengajuan cepat banget dan limit banyak,2025-07-30 18:51:07,pengajuan cepat banget dan limit banyak,negative
Elsa Wati,3,semoga bisa acc,2025-07-30 18:40:23,semoga bisa acc,neutral
Msaepudin Saepudin,4,kasih 4 bintang dulu,2025-07-30 18:32:07,kasih 4 bintang dulu,neutral
Dessy Riiany,3,coba 3 bintang dulu yaaaaaa,2025-07-30 18:24:19,coba 3 bintang dulu yaaaaaa,neutral
Acep Utong94,5,semoga acc,2025-07-30 18:23:57,semoga acc,neutral
farhan julian,5,semoga d acc,2025-07-30 18:22:25,semoga d acc,neutral
Arid Dungga,5,mantap 👍,2025-07-30 18:04:29,mantap,positive
Ridwan,5,sangat membantu yang lagi butuh,2025-07-30 18:03:38,sangat membantu yang lagi butuh,positive
radiana tea,2,susah dapet limit apk jelek,2025-07-30 17:45:13,susah dapet limit apk jelek,negative
Ika Yunita,1,"ga jadi, ga jelas saya uninstall lagi",2025-07-30 17:21:17,"ga jadi, ga jelas saya uninstall lagi",negative
Wibowo Sulistianto,5,aplikasi yg sangat membantu,2025-07-30 17:21:06,aplikasi yg sangat membantu,positive
Zakia Putri,4,semoga jauh lebih baik,2025-07-30 17:12:52,semoga jauh lebih baik,positive
