userName,score,content,at,cleaned,sentiment
Dede Hermawan,1,Sangat tidak rekomendasi,2025-07-31 13:59:10,Sangat tidak rekomendasi,negative
Atun Zidan,1,gk bisa di login,2025-07-31 13:55:06,gk bisa di login,neutral
Aden Risman,5,semua nya bagus .ok banget,2025-07-31 12:38:55,semua nya bagus .ok banget,positive
Pra Mono,2,"aplikasi gak jelas tanda tangan teryata gak cair, telat bayar kagak.....telek",2025-07-31 10:57:11,"aplikasi gak jelas tanda tangan teryata gak cair, telat bayar kagak.....telek",negative
Alf Ono,2,"sekarang lama, mesti nunggu 2 hari, itu juga belum tentu cair, gak seperti dulu, cepat proses nya, ngak pake lama, dan pasti cair",2025-07-31 10:31:35,"sekarang lama, mesti nunggu 2 hari, itu juga belum tentu cair, gak seperti dulu, cepat proses nya, ngak pake lama, dan pasti cair",negative
Anggits,1,pengajuan d tolak udah ngisi data mungkin belum rejekinya mohon data saya d hapus,2025-07-31 10:27:10,pengajuan d tolak udah ngisi data mungkin belum rejekinya mohon data saya d hapus,neutral
Viianya Rasta,1,"aduh julo lagi kenapa si ini masa gak bisa penarikan dana. bayar gak pernah telat dan jarang bgt penarikan. sekalinya penarikan gak bisa"" . KLO EMG lagi maintenance gak ush promosi""in lah. kecewa bgt sama julo",2025-07-31 10:08:45,aduh julo lagi kenapa si ini masa gak bisa penarikan dana. bayar gak pernah telat dan jarang bgt penarikan. sekalinya penarikan gak bisa . KLO EMG lagi maintenance gak ush promosiin lah. kecewa bgt sama julo,negative
Jaya Rmu,1,saya baru kali ini kecewa SMA julo awal nya pinjaman gampang cair GK pake nunggu lama 2 menit sudah cair meskipun masih ada cicilan yg masih ada tapi skrng saya baru ngerasain ngajuin lama prosesnya bahkan dri kmren sore smpai pagi ini blm di ACC padahal pembayaran selalu tepat waktu dan belum pernah nunggak .tolong ditingat kan lagi biar semua pelanggan gak kecewa.termasuk saya sebagai nasabah nya.smpai sekarang masih dalam proses blm cair juga .,2025-07-31 09:56:25,saya baru kali ini kecewa SMA julo awal nya pinjaman gampang cair GK pake nunggu lama 2 menit sudah cair meskipun masih ada cicilan yg masih ada tapi skrng saya baru ngerasain ngajuin lama prosesnya bahkan dri kmren sore smpai pagi ini blm di ACC padahal pembayaran selalu tepat waktu dan belum pernah nunggak .tolong ditingat kan lagi biar semua pelanggan gak kecewa.termasuk saya sebagai nasabah nya.smpai sekarang masih dalam proses blm cair juga .,negative
Moh Radif Rafsanjani,3,"lebih dari 2 bulan limit JULO tidak bisa digunakan, dengan alasan pemberi pinjaman tidak ada. sekelas JULO tidak ada pemberi pinjaman patut dipertanyakan.",2025-07-31 09:20:31,"lebih dari 2 bulan limit JULO tidak bisa digunakan, dengan alasan pemberi pinjaman tidak ada. sekelas JULO tidak ada pemberi pinjaman patut dipertanyakan.",negative
Fikih Ilman hidayat,1,"gile..serem bgt spam call nya,utang cuma 100 ribu aja di spam kayak utang ratusan juta,,,",2025-07-31 08:55:55,"gile..serem bgt spam call nya,utang cuma 100 ribu aja di spam kayak utang ratusan juta,,,",negative
