userName,score,content,at
Jaka surya,5,sangat membantu,2025-07-31 10:35:41
Kusw Anto,5,makasih kredivo,2025-07-31 10:35:18
Arsy Wanita,5,sangat bagus,2025-07-31 10:35:01
FARIANSYAH FARU,5,apk nya bagus,2025-07-31 10:31:36
NayraAnum Azura,5,apk keren sih menurut aku,2025-07-31 10:21:32
Kanaka Muhammad athaya,5,sudah bayar lunas lebih awal kenapa limitnya tidak naik sih ????? 😓😓😓,2025-07-31 10:10:03
HENDRAYATNO,5,Aplikasi kredivo ok banget...,2025-07-31 10:08:17
Rafi Knzo,5,"Keren kredivo mantap beberapa kali pengajuan baru kali ini lolos, tapi cuman dapet limit 100.000, semoga nanti naik",2025-07-31 10:00:05
Muhamad Tarmujih,5,Kenapa sekarang tidak bisa pakai barcode di indomart/alfamart ya? baru muncul sebentar barcode langsung hilang saya coba ulangi lagi hasilnya tetap saja sama barcode muncul sebentar dan langsung hilang.. apakah ada masalah?,2025-07-31 09:59:22
Ali Azhansyah,5,Recomeded,2025-07-31 09:58:52
wutrah gunani,5,sangat membantu dan simple,2025-07-31 09:56:44
Wangnan 25,5,sangat bagus dan rekomendasi untuk di gunakan,2025-07-31 09:53:00
Amir Hamzah,5,Mudah dan cepat proses nya 👌,2025-07-31 09:47:18
Syahdu Fatimah Az zahra (Imah),5,terimakasih,2025-07-31 09:46:46
Walidi Day,5,sangat baik dan terpercaya,2025-07-31 09:46:27
Herwinda Ragil,5,"cepat ,bagus",2025-07-31 09:46:10
Bashit Child,1,aplikasi dibuat ga berguna pemakan uang riba gue da kerja malah pinjam ditolak sombong hidup luga berkah,2025-07-31 09:39:07
agus nurrudin,5,informatif,2025-07-31 09:38:20
Muhammad Rehan,5,"luar biasa, sangat membantu",2025-07-31 09:32:22
Junaidi Ilham,5,mantap,2025-07-31 09:28:03
Robi Sugara Simanjuntak,5,Sangat bermanfaat,2025-07-31 09:10:32
Agus Sapto,5,bagus,2025-07-31 09:07:54
Purnama Fikri,5,mantap lah,2025-07-31 09:06:07
Nur Deifi Datuela,5,membantu bunga rendah,2025-07-31 09:01:40
Hottua Situmorang,3,kemarin saya nelpon biar akun ku di blokir untuk sementara waktu karena ada transaksi yg bukan saya yang buat tapi pas aku cek cek ternyata transaksi itu dibuat sama teman ku. dan oke udh di bayar nya. tapi giliran ku telpon lagi biar akunku di aktifkan pihak kredivo tidak merespon alasannya sedang ditinjau sudah lebih 4 bulan. aku suka pakai kredivo karena banyak promo nya,2025-07-31 08:54:39
Taufiq Taufiqulloh,5,kita bayar tepat waktu pelayanan Kredivo makin mantab terimakasih banyak Kredivo,2025-07-31 08:47:48
Didi Setiawan,5,"hati hati loh sma kredivo, telat bayar blm 1 bulan udah kaya rampok nagihin ke rumah, melebihi leasing motor, kapok pakai kredivo, parah penagihannya",2025-07-31 08:44:21
Arif Hidayat,5,"kalau bisa admin dan bunga diturunkan, dan diberikan jatah pinjaman bisa 2 kali pinjaman...",2025-07-31 08:44:15
Eben Badboy,5,sangat memuaskan..tp sayang limit nya masih kecil padahal udah sering menggunakan aplikasi kredivo,2025-07-31 08:42:23
Andika Prasetyo,5,The Best Kredivo! sangat membantu.,2025-07-31 08:41:35
herman sundanese,5,"saya penggemar setia kredivo,ruarrrrr biasa secepat itu pencairannya hitungan 3 detik uang masuk ke rekening pribadi, tenornya ditambah panjang lagi dan bunga nya turunin ya",2025-07-31 08:40:31
Herdi Oke,5,lebih mudah dan cepat,2025-07-31 08:39:13
Deah Ananda,4,tolong ya kredivo jangn main asal tf tanpa seizin peminjam,2025-07-31 08:34:42
Milawati S Putri,5,mantap naikin limit lagi,2025-07-31 08:31:01
Aprillyanni Sune,5,pencairan cepat ☺️👍🏻,2025-07-31 08:28:46
Muhamad Hafidz,5,"kredivo top, cuma hanya 1 yang bikin saya mumet kenapa akun saya belum bisa menjadi premium plus? sedangkan akun saya sudah lebih dari 1 tahun pemakaian dan tidak pernah telat bayar sama sekali tolong di jawab kak",2025-07-31 08:23:04
Zetia Azzain,5,sangat membantu,2025-07-31 08:21:49
Valentinus Telaumbanua,5,APLIKASI SUMPAH,2025-07-31 08:18:20
ARAL TV,5,kebutuhan saya jdi terbantu berkat aplikasi ini,2025-07-31 08:15:25
Rudi Ismanto,5,sangat membantu,2025-07-31 08:13:58
Fradika Lesmana,5,Sangat membantu disaat tanggal tua 😁,2025-07-31 08:08:57
Eko Tsauban,5,waw kredivo paling TOP deh,2025-07-31 07:58:15
Zainudin Zubaedah,5,biar bintang yang berbicara,2025-07-31 07:38:49
Mirna Wati,5,sangat baik dan berguna,2025-07-31 07:38:07
ADI FATIH,5,sangat membantu dan baik pelayanan nya,2025-07-31 07:35:57
Adi Sudrajat,5,makin mudah dan terpercaya,2025-07-31 07:32:57
Sigit Sumarsono,5,Mudah dan membantu,2025-07-31 07:29:40
Fadly Listrik,1,parahhhhhh bikin kapokkkkkkkk angsuran 6 bln tinggl 1 lgi lunas. telat 1 hari . jdi nambah 1 bln angsuran. tmbah lagi denda 50 ribu. bikin kapokkk pokoknya,2025-07-31 07:28:02
SZ Creator,5,bagus,2025-07-31 07:20:44
Riyanti,5,sangat memuaskan,2025-07-31 07:16:22
Baren Sedayu,5,kerennn,2025-07-31 07:16:06
Wa Sawianti (Anti),5,Terima Kasih,2025-07-31 07:13:34
Faisal Abdul “el kacong” Putra,5,"seru , banyak cuan nya pakai kredivo",2025-07-31 07:06:48
Faisal Nst,5,"Bagus, respon cepat",2025-07-31 06:50:04
Ilahiyah Network,5,mudah,2025-07-31 06:47:43
Tien Sofie,1,bad,2025-07-31 06:43:33
Jhuned,4,"bunga lumayan tinggi ,perlu di turunkan untuk tarik konsumen🙏🙏",2025-07-31 06:37:58
Ayip Nurhidayat,5,puas,2025-07-31 06:30:58
Dara Kamilatu,5,ngabatu banget,2025-07-31 06:21:29
Hamdi Yanto,5,prosesnya cepat,2025-07-31 06:16:29
Rohimah Rohimah,5,sangat membantu sekali,2025-07-31 06:15:17
Adli Poborsky,5,"Mudah penggunaannya,, dan cepat utk bertransaksi. sekarang banyak fiturnya, bahkan bisa top up e-wallet bayar bulan depan benar benar membantu sekali. Masukkannya Kalau bisa untuk Kredifazz nya bisa 2 platform karena yang namanya keperluan mendadak tidak ada yang Mengetahuinya",2025-07-31 06:13:14
Asbifay Channel,5,mantap betul limit tinggi bunga rendah,2025-07-31 05:48:54
Herman syah Syaputra,5,sangat membantu sekali untuk saya terima kasih,2025-07-31 05:29:36
Ekko Koko,5,lumayan cepat proses nya... good...,2025-07-31 05:14:56
Aditya Sanjaya,5,naik limit lagi.. terimakasih yach,2025-07-31 05:11:22
Suhendra Abo,5,kredivo ok bngt pokonya,2025-07-31 05:02:43
Andika_ 69,1,buang buang waktu,2025-07-31 03:13:15
Ari Mariyansyah,5,aplikasi sangat memuaskan,2025-07-31 02:58:45
Oberlin Setiadi,5,good,2025-07-31 02:45:32
Tarique Jacobs,3,"ini knp yah di bagian buat isi kode pos nya gk bisa sama sekali, tolong developer perbaiki masalah ini saya udah coba berulang kali tapi tetep gk bisa",2025-07-31 02:34:43
Rini Jumiarsih,5,Kredivo Emang mantep,2025-07-31 02:32:33
Indra Gunawan,5,"sangat membantu disaat kita butuh pinjaman, karena sangat mudah dan cepat proses nya",2025-07-31 02:14:20
LS Channel 21,1,"apk kaga jlas,bayar udah tepat waktu kredifaz ga prnah lolos",2025-07-31 01:41:00
SAKA RAJENDRA,5,bagus membantu,2025-07-31 01:36:08
Lian Zahri,5,mantap,2025-07-31 01:19:46
Yanuar Afrizal,5,smoga di permudahkan segala urusan,2025-07-31 01:18:37
Ferdinan Siregar,1,saldo gk bisa di pake,2025-07-31 01:05:34
Praja Simangunsong,5,teebaik,2025-07-31 00:50:59
Bachtiar Rifai,5,Ok,2025-07-31 00:42:23
Resty Widyastuti,5,"terimakasih kredivo selalu menambah terus limit ku,apk paylater paling the best",2025-07-31 00:40:57
Aldi Prasetyo,5,mantaps dan sangat membantu,2025-07-31 00:36:34
Andi Nugraha,5,mantap,2025-07-31 00:35:15
Erhansyah,5,semogah bisa membantu,2025-07-31 00:15:37
Saripudin 1994,5,aplikasi sempurna,2025-07-30 23:45:04
u sutisna,5,top 1,2025-07-30 23:20:51
Airin Sembiring,5,bagus,2025-07-30 23:17:39
Kenta Sukenta,1,"bayar selalu lancar, dan tepat waktu akun malah di tangguhkan sementara, ngga rekomend banget aah",2025-07-30 23:13:27
Asriadi Kadus,5,bermanfaat,2025-07-30 23:12:34
Juli juli,5,mantap...👍👍👍,2025-07-30 23:11:27
Erna Yati,5,aplikasi yabg sangat bagus,2025-07-30 23:11:15
zidan p a,1,gak jelas,2025-07-30 23:07:17
FERI Kurniawan,5,apk terbaik,2025-07-30 23:04:59
Irvan Agisni Noah,5,"gan kenapa aku kredivo saya diblokir permanen ? saya gak pernah ada masalah ,buat jualan pulsa",2025-07-30 22:48:50
