userName,score,content,at,cleaned,sentiment
Jaka surya,5,sangat membantu,2025-07-31 10:35:41,sangat membantu,positive
Kusw Anto,5,makasih kredivo,2025-07-31 10:35:18,makasih kredivo,positive
Arsy Wanita,5,sangat bagus,2025-07-31 10:35:01,sangat bagus,positive
FARIANSYAH FARU,5,apk nya bagus,2025-07-31 10:31:36,apk nya bagus,positive
NayraAnum Azura,5,apk keren sih menurut aku,2025-07-31 10:21:32,apk keren sih menurut aku,positive
Kanaka Muhammad athaya,5,sudah bayar lunas lebih awal kenapa limitnya tidak naik sih ????? 😓😓😓,2025-07-31 10:10:03,sudah bayar lunas lebih awal kenapa limitnya tidak naik sih ?????,negative
HENDRAYATNO,5,Aplikasi kredivo ok banget...,2025-07-31 10:08:17,Aplikasi kredivo ok banget...,positive
Rafi Knzo,5,"Keren kredivo mantap beberapa kali pengajuan baru kali ini lolos, tapi cuman dapet limit 100.000, semoga nanti naik",2025-07-31 10:00:05,"Keren kredivo mantap beberapa kali pengajuan baru kali ini lolos, tapi cuman dapet limit 100.000, semoga nanti naik",positive
Muhamad Tarmujih,5,Kenapa sekarang tidak bisa pakai barcode di indomart/alfamart ya? baru muncul sebentar barcode langsung hilang saya coba ulangi lagi hasilnya tetap saja sama barcode muncul sebentar dan langsung hilang.. apakah ada masalah?,2025-07-31 09:59:22,Kenapa sekarang tidak bisa pakai barcode di indomartalfamart ya? baru muncul sebentar barcode langsung hilang saya coba ulangi lagi hasilnya tetap saja sama barcode muncul sebentar dan langsung hilang.. apakah ada masalah?,negative
Ali Azhansyah,5,Recomeded,2025-07-31 09:58:52,Recomeded,negative
wutrah gunani,5,sangat membantu dan simple,2025-07-31 09:56:44,sangat membantu dan simple,positive
Wangnan 25,5,sangat bagus dan rekomendasi untuk di gunakan,2025-07-31 09:53:00,sangat bagus dan rekomendasi untuk di gunakan,positive
Amir Hamzah,5,Mudah dan cepat proses nya 👌,2025-07-31 09:47:18,Mudah dan cepat proses nya,positive
Syahdu Fatimah Az zahra (Imah),5,terimakasih,2025-07-31 09:46:46,terimakasih,positive
Walidi Day,5,sangat baik dan terpercaya,2025-07-31 09:46:27,sangat baik dan terpercaya,positive
Herwinda Ragil,5,"cepat ,bagus",2025-07-31 09:46:10,"cepat ,bagus",positive
Bashit Child,1,aplikasi dibuat ga berguna pemakan uang riba gue da kerja malah pinjam ditolak sombong hidup luga berkah,2025-07-31 09:39:07,aplikasi dibuat ga berguna pemakan uang riba gue da kerja malah pinjam ditolak sombong hidup luga berkah,negative
agus nurrudin,5,informatif,2025-07-31 09:38:20,informatif,positive
Muhammad Rehan,5,"luar biasa, sangat membantu",2025-07-31 09:32:22,"luar biasa, sangat membantu",positive
Junaidi Ilham,5,mantap,2025-07-31 09:28:03,mantap,positive
Robi Sugara Simanjuntak,5,Sangat bermanfaat,2025-07-31 09:10:32,Sangat bermanfaat,positive
Agus Sapto,5,bagus,2025-07-31 09:07:54,bagus,positive
Purnama Fikri,5,mantap lah,2025-07-31 09:06:07,mantap lah,positive
Nur Deifi Datuela,5,membantu bunga rendah,2025-07-31 09:01:40,membantu bunga rendah,positive
