userName,score,content,at,cleaned,sentiment
Muhalikin Kin,1,penagih nya ga tau toleransi dan dari bicaranya seenaknya dia..jgn2 coba2 pake apk ini jika ga kuat mental,2025-07-31 10:57:06,penagih nya ga tau toleransi dan dari bicaranya seenaknya dia..jgn2 coba2 pake apk ini jika ga kuat mental,negative
Edi Prastiyo,4,pokoknya membangun bgt rupiah cepat,2025-07-31 10:56:09,pokoknya membangun bgt rupiah cepat,positive
Caca An,5,"4x pinjam belom naik limit,proses cepet",2025-07-31 10:53:37,"4x pinjam belom naik limit,proses cepet",positive
Tio,5,sangat bagus,2025-07-31 10:51:01,sangat bagus,positive
topik hidayat,5,aplikasi nya sangat membantu,2025-07-31 10:47:39,aplikasi nya sangat membantu,positive
Ulpi Laelatul,3,sanget puas dan bagus untuk keperluan,2025-07-31 10:46:15,sanget puas dan bagus untuk keperluan,positive
hendra setiawan,5,nice,2025-07-31 10:43:49,nice,positive
Akhmad Purnomo,5,"Sangat membantu,,dana darurat",2025-07-31 10:42:55,"Sangat membantu,,dana darurat",positive
Joper Bombom,5,mantab ini proses cepat gk ribet..sangat membatu.,2025-07-31 10:41:38,mantab ini proses cepat gk ribet..sangat membatu.,positive
Bella Bel,5,baik,2025-07-31 10:36:34,baik,positive
Zahgi Azzam Anugrah,5,sangat membantu dan cepat😁,2025-07-31 10:33:40,sangat membantu dan cepat,positive
Edy Kusdianto,2,Memang pada awal nya ngasih pinjaman Masih receh sihh 100rb tapi sekarang enggak dikasih alasannya rudet dan TDK masuk akal.aku kasih bintang 2 saja sebagai rasa bentuk kecewa.,2025-07-31 10:29:35,Memang pada awal nya ngasih pinjaman Masih receh sihh 100rb tapi sekarang enggak dikasih alasannya rudet dan TDK masuk akal.aku kasih bintang 2 saja sebagai rasa bentuk kecewa.,negative
Arnita Nita,5,bagus banget,2025-07-31 10:26:07,bagus banget,positive
Mawar Merah,1,aplikasi taik..ngga jelas bnget,2025-07-31 10:21:18,aplikasi taik..ngga jelas bnget,negative
Giat Giyatno,5,jooss,2025-07-31 10:20:13,jooss,positive
Riki Risnandar,5,okelah meski dikasih limit kecil,2025-07-31 10:18:12,okelah meski dikasih limit kecil,negative
Aku Sendiri,1,"aplikasi aneh,ditolak Mulu,luar biasa,",2025-07-31 10:00:09,"aplikasi aneh,ditolak Mulu,luar biasa,",negative
Ilmiansyah Ansyah,5,ok banget,2025-07-31 09:56:30,ok banget,negative
Jariyah 017!,5,yth.bpk/ibu yang mempunyai aplikasi ini saya bernama jariyah ingin meminta tolong agar akun saya segera di hapus karna takut penyalah gunaan oleh orang lain karna akun saya di daftarkan oleh orang lain terimakasih,2025-07-31 09:56:12,yth.bpkibu yang mempunyai aplikasi ini saya bernama jariyah ingin meminta tolong agar akun saya segera di hapus karna takut penyalah gunaan oleh orang lain karna akun saya di daftarkan oleh orang lain terimakasih,neutral
desy 12,1,"pengganggu dengan nawarin pinjaman, risih di tlpon terus",2025-07-31 09:49:35,"pengganggu dengan nawarin pinjaman, risih di tlpon terus",negative
Indrawan King,4,"lumayan cepat pencairan ya, tapi sayang sebelum pengajuan kita tidak tau berapa bunga dan potongan ya, terima kasih",2025-07-31 09:49:33,"lumayan cepat pencairan ya, tapi sayang sebelum pengajuan kita tidak tau berapa bunga dan potongan ya, terima kasih",positive
Afdhal Alfaizt,5,"mudah tidak ribet, terima kasih",2025-07-31 09:43:36,"mudah tidak ribet, terima kasih",neutral
Ridho Soleman,5,walaupun limit kecil tapi pengajuan cepat kan bagus well terbaik buat rupiah cepat konsisten terus👏,2025-07-31 09:39:58,walaupun limit kecil tapi pengajuan cepat kan bagus well terbaik buat rupiah cepat konsisten terus,positive
nurul agustika,5,semoga aja di acc lgi,2025-07-31 09:38:57,semoga aja di acc lgi,neutral
Handy Pratama,5,mantap,2025-07-31 09:33:06,mantap,positive
